API Name,API ID,Stage,Has Authorizer,WAF Web ACL,API Gateway Type,Invoke URL,Associated Custom Domains,AWS_Account_Name
edge-gateway-v1_customers,lyl3gef26d,v1_customers,True,No,EDGE,https://lyl3gef26d.execute-api.us-east-1.amazonaws.com/v1_customers,"[{'domain_name': 'gateway.stockx.com', 'base_path': 'api/v1/customers', 'regional_domain_name': 'd-yiagdhgffh.execute-api.us-east-1.amazonaws.com'}, {'domain_name': 'gateway.stockx.io', 'base_path': 'api/v1/customers', 'regional_domain_name': 'd-jp1ttxo3b8.execute-api.us-east-1.amazonaws.com'}]",production-eng
public-api,mox0z7h7l3,public,True,No,EDGE,https://mox0z7h7l3.execute-api.us-east-1.amazonaws.com/public,"[{'domain_name': 'api.stockx.com', 'base_path': '(none)', 'regional_domain_name': 'N/A'}]",production-eng
edge-gateway,u3muusnpj7,api,True,No,EDGE,https://u3muusnpj7.execute-api.us-east-1.amazonaws.com/api,"[{'domain_name': 'edge-gateway.stockx.io', 'base_path': 'api', 'regional_domain_name': 'N/A'}, {'domain_name': 'gateway.stockx.com', 'base_path': 'api', 'regional_domain_name': 'd-yiagdhgffh.execute-api.us-east-1.amazonaws.com'}, {'domain_name': 'gateway.stockx.io', 'base_path': 'api', 'regional_domain_name': 'd-jp1ttxo3b8.execute-api.us-east-1.amazonaws.com'}, {'domain_name': 'secure.stockx.io', 'base_path': 'api', 'regional_domain_name': 'd-pkq9gwea30.execute-api.us-east-1.amazonaws.com'}]",production-eng
edge-gateway,u3muusnpj7,public,True,No,EDGE,https://u3muusnpj7.execute-api.us-east-1.amazonaws.com/public,"[{'domain_name': 'edge-gateway.stockx.io', 'base_path': 'public', 'regional_domain_name': 'N/A'}, {'domain_name': 'gateway.stockx.com', 'base_path': 'public', 'regional_domain_name': 'd-yiagdhgffh.execute-api.us-east-1.amazonaws.com'}, {'domain_name': 'gateway.stockx.io', 'base_path': 'public', 'regional_domain_name': 'd-jp1ttxo3b8.execute-api.us-east-1.amazonaws.com'}]",production-eng
edge-gateway-v1_customers,0gru1amr7l,v1_customers,True,No,EDGE,https://0gru1amr7l.execute-api.us-east-1.amazonaws.com/v1_customers,"[{'domain_name': 'gateway.staging.stockx.io', 'base_path': 'api/v1/customers', 'regional_domain_name': 'd-98lfrulerh.execute-api.us-east-1.amazonaws.com'}]",staging-eng
public-api,dd6yymuuk6,public,True,No,EDGE,https://dd6yymuuk6.execute-api.us-east-1.amazonaws.com/public,"[{'domain_name': 'api.staging.stockx.io', 'base_path': '(none)', 'regional_domain_name': 'N/A'}]",staging-eng
edge-gateway,yl2koh5db1,api,True,No,EDGE,https://yl2koh5db1.execute-api.us-east-1.amazonaws.com/api,"[{'domain_name': 'gateway.staging.stockx.io', 'base_path': 'api', 'regional_domain_name': 'd-98lfrulerh.execute-api.us-east-1.amazonaws.com'}, {'domain_name': 'secure.staging.stockx.io', 'base_path': 'api', 'regional_domain_name': 'd-noslwt4v76.execute-api.us-east-1.amazonaws.com'}]",staging-eng
edge-gateway,yl2koh5db1,public,True,No,EDGE,https://yl2koh5db1.execute-api.us-east-1.amazonaws.com/public,"[{'domain_name': 'gateway.staging.stockx.io', 'base_path': 'public', 'regional_domain_name': 'd-98lfrulerh.execute-api.us-east-1.amazonaws.com'}]",staging-eng
dev1-MTI-6579-Test-Case-hyperwallet-mock-api-mock-hyperwallet-rest-api,0i3jjqexrc,dev1,False,No,REGIONAL,https://0i3jjqexrc.execute-api.us-east-1.amazonaws.com/dev1,[],dev1-eng
dev1-dev-01-grails-mock-api-mock-grails-rest-api,1qtca9jgq7,dev1,False,No,REGIONAL,https://1qtca9jgq7.execute-api.us-east-1.amazonaws.com/dev1,[],dev1-eng
